Species	Number_of_protein_genes	mean_gene_length	median_gene_length	Assigned_clade	species_label
DROSOPHILA_MOJAVENSIS	13272	1.67992	1.236	Group 6	Reference_species
DROSOPHILA_GAUCHA	12595	1.67596	1.251	Group 6	Species_without_RNA-seq
DROSOPHILA_ARIZONAE	12563	1.54864	1.137	Group 6	Species_with_RNA-seq
DROSOPHILA_NAVOJOA	12939	1.57595	1.176	Group 6	Species_with_RNA-seq
DROSOPHILA_MULLERI	12829	1.61057	1.191	Group 6	Species_without_RNA-seq
DROSOPHILA_SERIEMA	12794	1.40054	1.059	Group 6	Species_without_RNA-seq
DROSOPHILA_MERIDIANA	12864	1.5794	1.182	Group 6	Species_without_RNA-seq
DROSOPHILA_MERCATORUM	12763	1.55988	1.167	Group 6	Species_without_RNA-seq
DROSOPHILA_REPLETA	12803	1.60502	1.191	Group 6	Species_with_RNA-seq
DROSOPHILA_PARANAENSIS	12779	1.56931	1.173	Group 6	Species_without_RNA-seq
DROSOPHILA_PENINSULARIS	12826	1.59796	1.191	Group 6	Species_without_RNA-seq
DROSOPHILA_HYDEI	12829	1.59906	1.191	Group 6	Species_with_RNA-seq
DROSOPHILA_MELANOGASTER	13972	1.56421	1.185	Group 5	Reference_species
DROSOPHILA_BIARMIPES	13464	1.53539	1.131	Group 5	Species_with_RNA-seq
DROSOPHILA_SUBPULCHRELLA	13454	1.54954	1.125	Group 5	Species_with_RNA-seq
DROSOPHILA_SUZUKII	13463	1.51323	1.098	Group 5	Species_with_RNA-seq
DROSOPHILA_MIMETICA	13359	1.5377	1.1355	Group 5	Species_without_RNA-seq
DROSOPHILA_PSEUDOTAKAHASHII	13479	1.54704	1.146	Group 5	Species_with_RNA-seq
DROSOPHILA_TAKAHASHII	13441	1.49948	1.116	Group 5	Species_with_RNA-seq
DROSOPHILA_ERECTA	13610	1.59216	1.179	Group 5	Species_with_RNA-seq
DROSOPHILA_ORENA	13468	1.55881	1.167	Group 5	Species_without_RNA-seq
DROSOPHILA_SANTOMEA	13664	1.56435	1.149	Group 5	Species_with_RNA-seq
DROSOPHILA_YAKUBA	13668	1.47551	1.068	Group 5	Species_with_RNA-seq
DROSOPHILA_TEISSIERI	13661	1.57549	1.164	Group 5	Species_with_RNA-seq
DROSOPHILA_MAURITIANA	13698	1.55043	1.137	Group 5	Species_with_RNA-seq
DROSOPHILA_SECHELLIA	13696	1.55356	1.14	Group 5	Species_with_RNA-seq
DROSOPHILA_SIMULANS	13713	1.52395	1.113	Group 5	Species_with_RNA-seq
DROSOPHILA_EUGRACILIS	13506	1.51922	1.125	Group 5	Species_with_RNA-seq
DROSOPHILA_RHOPALOA	14607	1.60669	1.176	Group 8	Reference_species
DROSOPHILA_CARROLLI	14097	1.58863	1.173	Group 8	Species_without_RNA-seq
DROSOPHILA_PROLONGATA	14096	1.53245	1.134	Group 8	Species_with_RNA-seq
