label	assembly_qual
DROSOPHILA_AFF__CHAUVACAE_BK-2020	17.95
DROSOPHILA_ACUTILABELLA	10.46
DROSOPHILA_ACANTHOPTERA	100.00
CHYMOMYZA_PROCNEMIS	1.53
CHYMOMYZA_COSTATA	20.09
DROSOPHILA_ALGONQUIN	39.61
DROSOPHILA_AMBIGUA	6.43
DROSOPHILA_ANANASSAE	31.27
DROSOPHILA_AMERICANA	14.62
DROSOPHILA_AFFINIS	100.00
DROSOPHILA_ANOMALIPES	14.57
DROSOPHILA_ANOMELANI	100.00
DROSOPHILA_ARIZONAE	6.22
DROSOPHILA_ARAWAKANA	16.34
DROSOPHILA_ASAHINAI	99.44
DROSOPHILA_ATRIPEX	11.91
DROSOPHILA_BAIMAII	100.00
DROSOPHILA_BAKOUE	99.44
DROSOPHILA_AZTECA	9.87
DROSOPHILA_BARBARAE	100.00
DROSOPHILA_BICORNUTA	100.00
DROSOPHILA_BASISETAE	13.32
DROSOPHILA_BIFASCIATA	21.02
DROSOPHILA_BIARMIPES	13.82
DROSOPHILA_BIPECTINATA	4.54
DROSOPHILA_BIRCHII	97.63
DROSOPHILA_BOCQUETI	14.23
DROSOPHILA_BUSCKII	0.00
DROSOPHILA_BOREALIS	35.38
DROSOPHILA_CHAUVACAE	100.00
DROSOPHILA_CARDINI	26.57
DROSOPHILA_BROMELIAE	100.00
DROSOPHILA_CURTA	100.00
DROSOPHILA_CARROLLI	20.58
DROSOPHILA_CYRTOLOMA	87.42
DROSOPHILA_DENTICULATA	100.00
DROSOPHILA_DIFFERENS	52.03
DROSOPHILA_DIPLACANTHA	100.00
DROSOPHILA_DUNNI	27.98
DROSOPHILA_ELEGANS	11.42
DROSOPHILA_EQUINOXIALIS	20.42
DROSOPHILA_ERECTA	8.43
DROSOPHILA_ERCEPEAE	11.56
DROSOPHILA_EUGRACILIS	37.85
DROSOPHILA_FICUSPHILA	14.17
DROSOPHILA_EZOANA	14.63
DROSOPHILA_GAUCHA	16.34
DROSOPHILA_FIMA	100.00
DROSOPHILA_FUYAMAI	27.84
DROSOPHILA_GREENI	100.00
DROSOPHILA_HETERONEURA	99.32
DROSOPHILA_GRIMSHAWI	31.28
DROSOPHILA_GUNUNGCOLA	5.79
DROSOPHILA_GUTTIFERA	100.00
DROSOPHILA_HYDEI	15.03
DROSOPHILA_HYPOCAUSTA	7.81
DROSOPHILA_INNUBILA	1.04
DROSOPHILA_IMMIGRANS	20.80
DROSOPHILA_INSULARIS	27.98
DROSOPHILA_JAMBULINA	5.27
DROSOPHILA_KANAPIAE	77.93
DROSOPHILA_KIKKAWAI	13.69
DROSOPHILA_LACERTOSA	99.17
DROSOPHILA_KURSEONGENSIS	15.37
DROSOPHILA_LACTEICORNIS	99.43
DROSOPHILA_LEONTIA	100.00
DROSOPHILA_LIMITATA	98.81
DROSOPHILA_LINI	100.00
DROSOPHILA_KEPULAUANA	100.00
DROSOPHILA_MALAGASSYA	100.00
DROSOPHILA_LITTORALIS	30.19
DROSOPHILA_MALERKOTLIANA_MALERKOTLIANA	7.38
DROSOPHILA_LOWEI	3.18
DROSOPHILA_MAURITIANA	10.91
DROSOPHILA_MAYRI	94.74
DROSOPHILA_MALERKOTLIANA_PALLENS	12.19
DROSOPHILA_MELANOGASTER	10.77
DROSOPHILA_MELANICA	100.00
DROSOPHILA_MERCATORUM	31.07
DROSOPHILA_MERINA	12.87
DROSOPHILA_MICROMELANICA	100.00
DROSOPHILA_MERIDIANA	15.33
DROSOPHILA_MIMETICA	1.96
DROSOPHILA_MIRANDA	2.87
DROSOPHILA_MOJAVENSIS	2.85
DROSOPHILA_MULLERI	17.21
DROSOPHILA_MONTANA	100.00
DROSOPHILA_MONIERI	12.54
DROSOPHILA_NANNOPTERA	21.08
DROSOPHILA_MURPHYI	14.11
DROSOPHILA_NEBULOSA	14.98
DROSOPHILA_NAVOJOA	71.42
DROSOPHILA_NEOCORDATA	19.01
DROSOPHILA_NIGROMELANICA	100.00
DROSOPHILA_NIKANANU	100.00
DROSOPHILA_NEOHYPOCAUSTA	99.25
DROSOPHILA_NOVAMEXICANA	21.62
DROSOPHILA_OBSCURA	11.85
DROSOPHILA_OCHRACEA	85.76
DROSOPHILA_OGUMAI	100.00
DROSOPHILA_OHNISHII	100.00
DROSOPHILA_NEONASUTA	100.00
DROSOPHILA_ORENA	27.88
DROSOPHILA_OROSA	100.00
DROSOPHILA_OSHIMAI	26.07
DROSOPHILA_PACHEA	20.13
DROSOPHILA_PARANAENSIS	19.04
DROSOPHILA_PARABIPECTINATA	22.37
DROSOPHILA_PALLIDIPENNIS	99.36
DROSOPHILA_PARVULA	100.00
DROSOPHILA_PAUCIPUNCTA	23.87
DROSOPHILA_ORNATIFRONS	100.00
DROSOPHILA_PARAPALLIDOSA	100.00
DROSOPHILA_PECTINIFERA	100.00
DROSOPHILA_PENINSULARIS	7.16
DROSOPHILA_PLANITIBIA	71.29
DROSOPHILA_PAULISTORUM	15.30
DROSOPHILA_PRIMAEVA	96.53
DROSOPHILA_PROLATICILIA	55.54
DROSOPHILA_PROLONGATA	13.43
DROSOPHILA_PROSALTANS	27.11
DROSOPHILA_PSEUDOANANASSAE_NIGRENS	12.97
DROSOPHILA_PSEUDOANANASSAE_PSEUDOANANASSAE	3.13
DROSOPHILA_PRUINOSA	21.73
DROSOPHILA_PSEUDOOBSCURA	22.69
DROSOPHILA_PUNJABIENSIS	98.80
DROSOPHILA_PUTRIDA	18.78
DROSOPHILA_QUADRILINEATA	22.33
DROSOPHILA_PSEUDOTALAMANCANA	99.44
DROSOPHILA_REPLETA	9.91
DROSOPHILA_REPLETOIDES	10.78
DROSOPHILA_ROBUSTA	99.37
DROSOPHILA_RHOPALOA	11.23
DROSOPHILA_RUBIDA	31.11
DROSOPHILA_RUFA	9.37
DROSOPHILA_SANTOMEA	20.21
DROSOPHILA_PULAUA	100.00
DROSOPHILA_SECHELLIA	18.51
DROSOPHILA_SALTANS	33.12
DROSOPHILA_SEGUYI	100.00
DROSOPHILA_SILVESTRIS	100.00
DROSOPHILA_SIAMANA	22.58
DROSOPHILA_SIMULANS	8.83
DROSOPHILA_SERRATA	51.15
DROSOPHILA_SPROATI	4.63
DROSOPHILA_STURTEVANTI	22.33
DROSOPHILA_SUBOBSCURA	7.57
DROSOPHILA_SUBPULCHRELLA	18.23
DROSOPHILA_SUBSILVESTRIS	36.63
DROSOPHILA_SUCINEA	15.20
DROSOPHILA_SERIEMA	99.53
DROSOPHILA_TANI	100.00
DROSOPHILA_SULFURIGASTER_ALBOSTRIGATA	100.00
DROSOPHILA_TANYTHRIX	18.73
DROSOPHILA_TEISSIERI	25.27
DROSOPHILA_TESTACEA	37.30
DROSOPHILA_SULFURIGASTER_BILIMBATA	100.00
DROSOPHILA_TRISTIS	11.94
DROSOPHILA_TRIAURARIA	51.01
DROSOPHILA_TROPICALIS	23.13
DROSOPHILA_TRUNCATA	100.00
DROSOPHILA_TSACASI	100.00
DROSOPHILA_VALLISMAIA	14.00
DROSOPHILA_VARIANS	4.32
DROSOPHILA_VILLOSIPEDIS	92.70
DROSOPHILA_USTULATA	12.90
DROSOPHILA_VIRILIS	10.63
DROSOPHILA_VULCANA	100.00
DROSOPHILA_WATANABEI	99.47
DROSOPHILA_YAKUBA	15.49
DROSOPHILA_WILLISTONI	11.41
DROSOPHILA_WASSERMANI	100.00
HIRTODROSOPHILA_CONFUSA	13.21
EPHYDRA_GRACILIS	100.00
LORDIPHOSA_CLAROFINIS	33.34
HIRTODROSOPHILA_DUNCANI	99.53
LORDIPHOSA_COLLINELLA	87.93
LORDIPHOSA_MAGNIPECTINATA	90.27
LORDIPHOSA_MOMMAI	67.58
LORDIPHOSA_SP_2_AFF_CLAROFINIS	80.61
LORDIPHOSA_STACKELBERGI	99.63
SCAPTODROSOPHILA_LATIFASCIAEFORMIS	17.61
